start_Time,open,high,low,close
08-10-2024 09:38,275.35,300,261.25,279.8
08-10-2024 09:40,277.4,299.05,268.5,283.25
08-10-2024 09:42,284.35,315.7,276.6,313.8
08-10-2024 09:44,313.4,373.45,304.15,365.8
08-10-2024 09:46,375.3,404.9,358.35,398.4
08-10-2024 09:48,414.25,431.1,380.6,425.35
08-10-2024 09:50,427.9,442,376.95,393.4
08-10-2024 09:52,392.95,413.1,358.75,363.3
08-10-2024 09:54,359.35,397.45,359.35,387.75
08-10-2024 09:56,384.7,387.6,346.3,382.5
08-10-2024 09:58,382.2,388.35,299.55,304.6
08-10-2024 10:00,305.85,318.4,236,255.1
08-10-2024 10:02,251.25,285,249.3,282.75
08-10-2024 10:04,296.65,309.55,280,288.9
08-10-2024 10:06,291.15,301.55,278.1,284.75
08-10-2024 10:08,282.35,310.5,280.95,287
08-10-2024 10:10,288.65,289,255.85,279.35
08-10-2024 10:12,282.25,298.75,272.6,284.6
08-10-2024 10:14,277.95,283.45,256.8,261.8
08-10-2024 10:16,264.35,275.45,252,254.2
08-10-2024 10:18,258.5,267.6,245.15,245.15
08-10-2024 10:20,248.15,282.05,245.6,276.5
08-10-2024 10:22,274.5,276.2,248.1,261
08-10-2024 10:24,260.7,296.3,260.7,296.3
08-10-2024 10:26,300.15,356.1,295.8,349.05
08-10-2024 10:28,346.15,354.75,328.45,344.4
08-10-2024 10:30,341.25,382.7,335.8,354.85
08-10-2024 10:32,358.1,393.3,358.1,393.3
08-10-2024 10:34,399,405.8,366.95,400.9
08-10-2024 10:36,403.8,416.35,384.2,402.05
08-10-2024 10:38,400.2,416.25,387.35,415.6
08-10-2024 10:40,412.7,434.45,383.9,383.9
08-10-2024 10:42,384.85,425,383.1,418.8
08-10-2024 10:44,418.65,418.65,337.3,353
08-10-2024 10:46,356.45,378.2,348.65,378
08-10-2024 10:48,382.9,389.35,369.95,385.95
08-10-2024 10:50,387.8,399.7,377.45,394.5
08-10-2024 10:52,393.15,410,388,391.2
08-10-2024 10:54,394.2,400.1,352.2,355.25
08-10-2024 10:56,352.55,380,345.05,355.4
08-10-2024 10:58,353.5,379.65,351.5,356.6
08-10-2024 11:00,356.85,374,351.95,369.05
08-10-2024 11:02,369.9,378.95,362.65,376.95
08-10-2024 11:04,377,396.85,377,391.75
08-10-2024 11:06,394.1,413.05,392.45,409.25
08-10-2024 11:08,406.2,422.95,400.1,400.8
08-10-2024 11:10,401.95,419.55,372,376.65
08-10-2024 11:12,375.75,393.2,355.9,368.7
08-10-2024 11:14,366.4,380.4,363,367.25
08-10-2024 11:16,369.2,371.6,324.35,340.6
08-10-2024 11:18,342.7,353.2,341.55,348.45
08-10-2024 11:20,349.15,361.6,342.45,348.3
08-10-2024 11:22,349.1,366.1,345.9,366.1
08-10-2024 11:24,365.45,382.4,365.45,379.4
08-10-2024 11:26,380.4,402.2,378.95,386.9
08-10-2024 11:28,384.5,385.65,368.25,371.95
08-10-2024 11:30,369,371.85,355.15,363.6
08-10-2024 11:32,361.45,365.8,342.35,345.65
08-10-2024 11:34,346.35,361.4,345,353
08-10-2024 11:36,349.75,363.05,345,359.3
08-10-2024 11:38,361.55,370,340.2,348.6
08-10-2024 11:40,348.65,373.45,342.85,371.85
08-10-2024 11:42,373.5,379,362.1,363.9
08-10-2024 11:44,365.25,383.15,356,374.2
08-10-2024 11:46,374.7,409.05,374.7,390.3
08-10-2024 11:48,393.8,398.7,366.4,366.5
08-10-2024 11:50,368.2,389.55,368.2,371.1
08-10-2024 11:52,373.45,376.3,354.5,362.05
08-10-2024 11:54,360.9,380,360.9,366.6
08-10-2024 11:56,366.35,366.35,291.5,309.05
08-10-2024 11:58,307,349.25,305.25,349.2
08-10-2024 12:00,349.25,350.55,312.95,325.2
08-10-2024 12:02,326.55,329.25,296.2,312.4
08-10-2024 12:04,313,325.15,294.05,294.25
08-10-2024 12:06,298.95,318.8,298.95,308.75
08-10-2024 12:08,310.4,318.5,300.25,308.7
08-10-2024 12:10,308.75,322.9,304.5,317.65
08-10-2024 12:12,316.65,343.4,314.45,340.95
08-10-2024 12:14,339.75,349.9,333.7,347.4
08-10-2024 12:16,347.95,359.4,334.25,336.55
08-10-2024 12:18,333.2,338,310.1,312.8
08-10-2024 12:20,312.2,316.8,301.35,307.35
08-10-2024 12:22,309.05,327.6,309.05,322
08-10-2024 12:24,320.9,330.4,319.75,325.95
08-10-2024 12:26,324.75,330,313.65,320.85
08-10-2024 12:28,320.55,320.55,308.95,312
08-10-2024 12:30,312.65,317.2,276.5,278.75
08-10-2024 12:32,276.05,294,268.25,292.05
08-10-2024 12:34,293.3,298.15,283.45,292.05
08-10-2024 12:36,294.25,300.5,279.65,279.65
08-10-2024 12:38,281.25,318.3,280.8,315.85
08-10-2024 12:40,317,321.65,296.05,297.1
08-10-2024 12:42,300,301.5,280.65,284.15
08-10-2024 12:44,283.05,286.3,272.4,281.8
08-10-2024 12:46,283.45,290.85,258,259.3
08-10-2024 12:48,261.7,283.25,261.7,273.65
08-10-2024 12:50,271.75,289.2,269.9,282.9
08-10-2024 12:52,283.2,289.65,276,288.65
08-10-2024 12:54,286.85,287.35,262.6,263
08-10-2024 12:56,264.3,271.4,254.05,258.8
08-10-2024 12:58,254.15,282.15,254.15,278
08-10-2024 13:00,278,284.5,265.45,281.5
08-10-2024 13:02,282.45,323.95,282.45,323.95
08-10-2024 13:04,327.3,352.35,316.7,334.9
08-10-2024 13:06,333.3,348.85,325.75,344.5
08-10-2024 13:08,343.15,399.4,336.9,385.3
08-10-2024 13:10,389.25,410.9,360.65,365.35
08-10-2024 13:12,365.15,394.2,357.6,387.05
08-10-2024 13:14,386.4,389.4,339.9,340.55
08-10-2024 13:16,340.85,348.2,329.8,344
08-10-2024 13:18,343.55,356.95,340.5,349.9
08-10-2024 13:20,349.35,349.35,318.25,326.15
08-10-2024 13:22,326.15,340.5,313.4,314.1
08-10-2024 13:24,313.3,337.6,303.95,331.65
08-10-2024 13:26,329.8,354.15,327,352.7
08-10-2024 13:28,351.7,354.35,327,331.35
08-10-2024 13:30,331.25,357.85,328.05,355
08-10-2024 13:32,354.9,380.8,352.3,368.65
08-10-2024 13:34,367.65,382.3,348.5,374.8
08-10-2024 13:36,376.8,392.05,372.05,379.65
08-10-2024 13:38,377.25,399.95,364.05,395.65
08-10-2024 13:40,395.95,405.45,367.6,383.5
08-10-2024 13:42,384.1,385.15,336.1,340.35
08-10-2024 13:44,341.8,363.65,327.2,359.1
08-10-2024 13:46,357.5,373.85,354.2,372.4
08-10-2024 13:48,374,391.1,365.3,371.55
08-10-2024 13:50,373,386.65,352.1,358.7
08-10-2024 13:52,357.7,370.1,351.4,352.9
08-10-2024 13:54,354,358.45,336.85,352.05
08-10-2024 13:56,351.3,365.65,343.9,350.9
08-10-2024 13:58,349.9,351.3,338.25,346.6
08-10-2024 14:00,345.5,358.3,337.9,345
08-10-2024 14:02,348.6,367.85,343.6,362.85
08-10-2024 14:04,364.2,367.75,342,350.9
08-10-2024 14:06,351,386.3,349.9,377.45
08-10-2024 14:08,376.5,385,363.7,385
08-10-2024 14:10,380.85,382.7,364.05,373.15
08-10-2024 14:12,374.5,390.45,367.95,373.95
08-10-2024 14:14,374.3,409.3,374.1,402.55
08-10-2024 14:16,406,411.95,378.7,378.7
08-10-2024 14:18,380.2,384.5,360.35,362.45
08-10-2024 14:20,363,373.95,358,370.95
08-10-2024 14:22,373.4,383.75,367.55,370.55
08-10-2024 14:24,371.05,387.5,371.05,385.2
08-10-2024 14:26,386.6,388.75,371,387.2
08-10-2024 14:28,388.05,406.15,380,391
08-10-2024 14:30,389.95,392.6,364.45,376.5
08-10-2024 14:32,376,376,326.7,340.1
08-10-2024 14:34,338.95,347.65,302.65,310
08-10-2024 14:36,311.2,324.55,295.5,295.5
08-10-2024 14:38,295.15,316.3,280.9,306.3
08-10-2024 14:40,307.65,311.55,289.6,307.55
08-10-2024 14:42,307.2,307.4,280.15,280.15
08-10-2024 14:44,287.15,287.85,256.9,273.4
08-10-2024 14:46,276.2,305.6,276.2,288.15
08-10-2024 14:48,289.15,303.05,276.2,290.9
08-10-2024 14:50,289,295.75,276.55,287
08-10-2024 14:52,283.7,283.7,260,265.85
08-10-2024 14:54,261.3,275,253.15,274.6
08-10-2024 14:56,274.3,281.75,244.85,258.7
08-10-2024 14:58,261.45,283.5,259.3,280.1
08-10-2024 15:00,282,309.45,258.65,267.95
08-10-2024 15:02,268.55,292,268.35,277.6
08-10-2024 15:04,276.7,286.9,269.05,277.5
08-10-2024 15:06,277.85,279.95,258.75,275.25
08-10-2024 15:08,274.2,278.5,265.8,270.5
09-10-2024 09:16,306.1,325.8833333,280.8166667,297.0666667
09-10-2024 09:18,288,305.8,285.75,293.25
09-10-2024 09:20,266.4333333,276.75,255.7666667,267.8666667
09-10-2024 09:22,262.4,272.1,246.3,266.7
09-10-2024 09:24,236.7666667,250.9166667,229.9,245.6
09-10-2024 09:26,234.3,237.25,217.1,225.4
09-10-2024 09:28,231.1833333,243.4833333,227.6166667,232.9666667
09-10-2024 09:30,236.8,237.3,215,232
09-10-2024 09:32,235.1833333,246.4166667,228.95,234.4833333
09-10-2024 09:34,241.3,247.85,234.65,238.45
09-10-2024 09:36,243.6833333,257.1333333,231.7,241.4166667
09-10-2024 09:38,250.25,257.85,241.3,255.2
09-10-2024 09:40,252.3166667,257.15,242.3833333,250.3666667
09-10-2024 09:42,288,298.2,253.95,253.95
09-10-2024 09:44,275.9,304.9333333,271.9333333,287.4166667
09-10-2024 09:46,264.1,267.75,245.3,254.25
09-10-2024 09:48,247.3666667,260.7666667,242.55,256.2
09-10-2024 09:50,249.4,253.85,237.65,237.65
09-10-2024 09:52,243.4333333,253.4666667,240.6,244.6
09-10-2024 09:54,236.35,252.9,225.45,245.65
09-10-2024 09:56,230.7333333,239.2,222.45,232.4666667
09-10-2024 09:58,227.35,236,221.65,230.65
09-10-2024 10:00,235.3,243.7,220.05,234.4333333
09-10-2024 10:02,230.2,231.9,215.35,222.25
09-10-2024 10:04,210.5166667,227.4,198.3,217.4833333
09-10-2024 10:06,276.75,288.25,211.25,213.8
09-10-2024 10:08,396.4166667,404.4833333,307.3,318.1833333
09-10-2024 10:10,561.4,606.3,465.6,528.7
09-10-2024 10:12,551.9166667,567.4166667,506.85,539.3
09-10-2024 10:14,632.95,644.6,568.6,581.85
09-10-2024 10:16,562.0166667,613.6833333,534.9166667,585.45
09-10-2024 10:18,493.4,566.9,493.4,561.45
09-10-2024 10:20,476.9666667,521.0833333,466.2,498.15
09-10-2024 10:22,452.1,461.5,436.1,442
09-10-2024 10:24,417.1,463.6833333,411.0333333,453.5333333
09-10-2024 10:26,334.1,373.95,314.55,360.5
09-10-2024 10:28,275.5666667,297.9,263.1833333,293.4166667
09-10-2024 10:30,306.55,310.6,263.9,270.55
09-10-2024 10:32,277.4333333,298.5,267.7666667,282.5
09-10-2024 10:34,308.25,315.55,275.55,282.1
09-10-2024 10:36,444.1166667,465.25,378.6666667,386.4
09-10-2024 10:38,528.25,539.75,506.6,519.55
09-10-2024 10:40,541.7166667,577.4833333,512.55,548.7166667
09-10-2024 10:42,514.85,523,498.15,511.55
09-10-2024 10:44,535.4166667,553.0166667,516.2166667,526.2666667
09-10-2024 10:46,576,591.8,541.25,541.25
09-10-2024 10:48,634.5,662.9,596.9666667,624.3666667
09-10-2024 10:50,708.75,717.1,631,631
09-10-2024 10:52,667.4,701.0166667,658.3,684.6333333
09-10-2024 10:54,676.6,700.45,647.85,655.45
09-10-2024 10:56,655,700.8166667,648.05,678.4833333
09-10-2024 10:58,643.8,663.9,626.9,626.9
09-10-2024 11:00,620.1666667,644.1333333,599.05,624.4833333
09-10-2024 11:02,626.75,654.05,621.2,642.25
09-10-2024 11:04,581.7333333,617.9833333,558.75,595.4666667
09-10-2024 11:06,558.75,586.35,556.9,584.95
09-10-2024 11:08,564.9,594.2833333,546.9166667,572.1666667
09-10-2024 11:10,518.75,559.85,510,546.5
09-10-2024 11:12,504.55,522.9666667,474.85,500.1833333
09-10-2024 11:14,505.65,544.95,502.4,530.3
09-10-2024 11:16,506.9333333,526.75,477.5333333,502.8833333
09-10-2024 11:18,485.3,519,483.55,502.2
09-10-2024 11:20,496.4166667,507.0166667,472.6333333,483.9166667
09-10-2024 11:22,477.8,523.8,477.8,523.8
09-10-2024 11:24,486.3833333,505.1166667,469.65,484.4166667
09-10-2024 11:26,457.45,483.15,455,481.4
09-10-2024 11:28,475.5,487.6,452.95,465.95
09-10-2024 11:30,488.5,494.2,465.6,476
09-10-2024 11:32,500.7666667,512.1166667,484.8833333,496.15
09-10-2024 11:34,483.9,513.3,480.05,506.8
09-10-2024 11:36,487.9666667,498.6833333,476.2833333,492.3166667
09-10-2024 11:38,451.5,486.6,451.5,479.2
09-10-2024 11:40,463.3166667,470.9833333,442.3166667,453.85
09-10-2024 11:42,464.75,472.2,451.1,464.65
09-10-2024 11:44,326.7,379.4333333,318.6666667,370.6
09-10-2024 11:46,294.9,335.5,280.5,323.75
09-10-2024 11:48,267.8333333,279.25,244.6666667,269.4166667
09-10-2024 11:50,277,297.5,270.65,276.85
09-10-2024 11:52,264.6,275.3666667,252.7666667,269.7
09-10-2024 11:54,233.9,258.9,229,258.9
09-10-2024 11:56,215.85,231.5166667,208.4166667,224.7
09-10-2024 11:58,172.3,207.55,166.65,207.55
09-10-2024 12:00,164.0833333,170.95,148.9,168.6666667
09-10-2024 12:02,168.8,174.8,151.5,156.9
09-10-2024 12:04,178.4166667,187.5833333,166.2166667,176.2333333
09-10-2024 12:06,185.75,195.3,173.15,174.75
09-10-2024 12:08,201.5333333,231.3833333,185.85,205.6833333
09-10-2024 12:10,155.2,180,151.8,174.6
09-10-2024 12:12,150.3,159.5166667,142.7166667,152.55
09-10-2024 12:14,147.8,157,137.25,154.05
09-10-2024 12:16,130.35,143.3333333,125.5666667,141.2833333
09-10-2024 12:18,119.95,124.3,116,117.6
09-10-2024 12:20,136,143.3,121.1666667,124.3833333
09-10-2024 12:22,128.95,162.15,128.95,153.05
09-10-2024 12:24,125.9166667,132.8666667,118.4,124.3
09-10-2024 12:26,144.05,144.05,129.55,129.55
09-10-2024 12:28,143.95,156.55,136.25,146.8333333
09-10-2024 12:30,135.1,144,130.2,132.9
09-10-2024 12:32,168.1,178.15,152.5666667,153.55
09-10-2024 12:34,158.75,188.6,153.15,183.7
09-10-2024 12:36,144.2,159.3,140.7,150.3333333
09-10-2024 12:38,149.15,150.2,129.7,139.8
09-10-2024 12:40,154.8166667,160.9666667,144.1666667,153
09-10-2024 12:42,170.6,173,154.2,154.2
09-10-2024 12:44,155.4333333,166.1333333,151.9833333,160.4333333
09-10-2024 12:46,171.6,179.65,148.5,149.95
09-10-2024 12:48,190.9833333,210.9833333,176.2166667,190.5
09-10-2024 12:50,185.4,194.5,175.7,176.75
09-10-2024 12:52,200.7166667,220.25,187.2833333,200.4833333
09-10-2024 12:54,201.15,206.25,189.9,194.75
09-10-2024 12:56,204.1666667,220.4666667,195.8166667,209.3833333
09-10-2024 12:58,179.8,198.6,178.45,189.1
09-10-2024 13:00,146.5833333,167.65,145.6,167.1333333
09-10-2024 13:02,120.6,132,119.55,119.55
09-10-2024 13:04,120.1,127.2166667,114.3166667,119.0666667
09-10-2024 13:06,109,131.35,107.7,119.35
09-10-2024 13:08,113.5833333,120.5666667,104.7166667,110.5333333
09-10-2024 13:10,119.05,122,110.95,116.3
09-10-2024 13:12,112.4666667,122.35,104.7666667,115.9
09-10-2024 13:14,95.15,105.3,90.25,103.6
09-10-2024 13:16,101.85,106.8,96.85,98.01666667
09-10-2024 13:18,92.75,104.6,91.2,104.6
09-10-2024 13:20,75.15,85.61666667,71.01666667,81.38333333
09-10-2024 13:22,80.45,83,71.2,71.2
09-10-2024 13:24,77.98333333,82.06666667,70.6,75.33333333
09-10-2024 13:26,79.75,86.2,75.8,86.2
09-10-2024 13:28,72.15,81.33333333,70.73333333,76.4
09-10-2024 13:30,72.7,74.35,68.1,69.1
09-10-2024 13:32,75.41666667,81,69.55,74.5
09-10-2024 13:34,82.7,84.9,73.15,73.85
09-10-2024 13:36,64.41666667,76.8,62.35,73.55
09-10-2024 13:38,54.1,57.15,50.55,54.65
09-10-2024 13:40,53.76666667,56.48333333,47.88333333,51.93333333
09-10-2024 13:42,54.05,62.85,54.05,58.65
09-10-2024 13:44,61.76666667,67.63333333,55.4,56.76666667
09-10-2024 13:46,60.35,70.25,58.2,66.95
09-10-2024 13:48,62.26666667,66.13333333,55.63333333,61.91666667
09-10-2024 13:50,53,59.05,50.7,55.65
09-10-2024 13:52,64.73333333,67.76666667,55.6,57.28333333
09-10-2024 13:54,71.85,82.65,65,74.8
09-10-2024 13:56,78.53333333,84.86666667,71.5,74.9
09-10-2024 13:58,81.1,97.3,79.1,83.25
09-10-2024 14:00,95.06666667,98.21666667,81.95,86.83333333
09-10-2024 14:02,96.4,111.35,94.95,108
09-10-2024 14:04,109.1166667,118.7166667,99.06666667,105.7333333
09-10-2024 14:06,115.05,115.05,105,107.2
09-10-2024 14:08,87.25,114.2,87.15,113.95
